imdb_content_id,type
tt0083424,tv
tt0078637,tv
tt0086824,tv
tt1785935,tv
tt0147793,tv
tt6659624,tv
tt2393813,tv
tt7410352,tv
tt0337550,tv
tt0112167,tv
tt0983514,tv
tt0287190,tv
tt7153034,tv
tt0133323,tv
tt1907319,tv
tt5808452,tv
tt1470837,tv
tt2262456,tv
tt0057773,tv
tt0190211,tv
tt5895156,tv
tt0256552,tv
tt0085109,tv
tt1638062,tv
tt2905768,movie
tt7456534,movie
tt0472582,movie
tt1359553,movie
tt1529572,movie
tt1683048,movie
tt0787495,movie
tt0326856,movie
tt0374569,movie
tt0060474,movie
tt0834001,movie
tt0082176,movie
tt2024432,movie
tt7241944,movie
tt1947973,movie
tt0145531,movie
tt1438534,movie
tt4911996,movie
tt3748440,movie
tt0431197,movie
tt3830024,tv
tt2980706,movie
tt0051866,movie
tt0499141,movie
tt1723120,movie
tt0108256,movie
tt2719752,movie
tt4457008,movie
tt7790040,movie
tt0177490,movie
tt0841153,movie
tt2319580,movie
tt0273108,movie
tt0091875,movie
tt5159414,movie
tt0388125,movie
tt0130827,movie
tt0061113,movie
tt0114194,movie
tt6958014,movie
tt0068931,movie
tt0067696,movie
tt0097987,movie
tt0100924,movie
tt0490084,movie
tt0095188,movie
tt2283336,movie
tt1315962,movie
tt5715066,movie
tt0116714,movie
tt4389410,movie
tt0049314,movie
tt0472071,movie
tt1733578,movie
tt0101745,movie
tt2258285,movie
tt1235189,movie
tt0790686,movie
tt0405336,movie
tt0053699,movie
tt3181822,movie
tt0051808,movie
tt0111282,movie
tt0050972,movie
tt0114069,movie
tt2347144,movie
tt0117705,movie
tt0037576,movie
tt0254927,movie
tt0251141,movie
tt0072157,movie
tt0107214,movie
tt0218625,movie
tt0064536,movie
tt5508870,movie
tt7777960,movie
tt0157887,movie
tt0187150,movie
tt0071650,movie
tt0112760,movie
tt7476524,movie
tt0314390,movie
tt0012532,movie
tt1017464,movie
tt0058335,movie
tt2088745,movie
tt7533160,movie
tt0398842,movie
tt4992106,movie
tt0108551,movie
tt0177479,movie
tt1122610,movie
tt0114055,movie
tt0030241,movie
tt1138481,movie
tt0091314,movie
tt1797346,movie
tt6303866,movie
tt0268346,movie
tt0912599,movie
tt1528750,movie
tt0125602,tv
tt0105994,tv
tt0275153,tv
tt0363314,tv
tt2034431,tv
tt6059382,tv
tt0063932,tv
tt0046658,tv
tt2460420,tv
tt0085060,tv
tt0229135,tv
tt0157128,movie
tt0805666,tv
tt0112206,tv
tt1043721,tv
tt0136658,tv
tt0083389,tv
tt0081871,tv
tt0118329,tv
tt0098932,tv
tt0092338,tv
tt2553440,tv
tt8999976,tv
tt1722512,tv
tt2188249,tv
tt0356258,tv
tt2523506,tv
tt7631146,tv
tt0092460,tv
tt0121943,tv
tt0063871,tv
tt5117150,tv
tt3804114,tv
tt7390104,movie
tt6830318,tv
tt0046977,movie
tt3231054,movie
tt0116823,movie
tt0103007,movie
tt0984122,movie
tt5181852,movie
tt1127896,movie
tt3529664,movie
tt8074486,movie
tt0033467,movie
tt0157245,tv
tt0095638,movie
tt4052882,movie
tt0434304,movie
tt8110290,movie
tt0290763,movie
tt2009503,movie
tt0245525,movie
tt0378280,movie
tt5883632,movie
tt0301357,movie
tt2368749,movie
tt1587729,movie
tt0808510,movie
tt0094142,movie
tt0114609,movie
tt0037604,movie
tt1216491,movie
tt5702446,movie
tt0058530,movie
tt0119994,movie
tt0099654,movie
tt0765849,movie
tt0102996,movie
tt0073486,movie
tt0096289,movie
tt0036174,movie
tt0841993,movie
tt2332707,movie
tt0114345,movie
tt0906665,movie
tt7738450,movie
tt0103893,movie
tt6170506,movie
tt0033174,movie
tt3741834,movie
tt1571409,movie
tt0086987,movie
tt3165630,movie
tt0158011,movie
